Gene_ID	Overall_Importance Score
3434_at	100
23586_at	31.23633539
5359_at	26.07836358
9111_at	12.05789107
55139_at	6.262282965
79970_at	4.936442999
79703_at	4.687120779
8743_at	3.769830622
219333_at	3.460793181
306_at	3.359940495
317_at	3.248611989
3964_at	3.241104327
640_at	2.604276378
56997_at	2.392346695
51149_at	2.345267824
5298_at	2.30208859
55666_at	2.234201086
26146_at	2.223315135
51513_at	2.195406959
7130_at	2.172365928
473_at	1.904753544
2885_at	1.85347401
7134_at	1.814832294
9214_at	1.803073991
24138_at	1.695359827
54981_at	1.650362524
80746_at	1.627808135
3627_at	1.568527337
84658_at	1.510646301
78991_at	1.477818303
4599_at	1.423902745
9840_at	1.363231548
55821_at	1.330059527
23761_at	1.288053792
9500_at	1.226488499
55146_at	1.124972395
285_at	1.1237791
27329_at	1.105776223
54884_at	1.016946501
3975_at	0.968758534
5498_at	0.912424258
84900_at	0.90911001
837_at	0.894717353
10902_at	0.870286653
23424_at	0.868461745
79689_at	0.863445028
10677_at	0.861156332
2840_at	0.858552039
AFF.HUMISGF3A.M97935_5_at	0.848787656
150_at	0.835838486
91543_at	0.835134142
3437_at	0.833840837
137886_at	0.824119679
9447_at	0.794683712
55691_at	0.784151796
55226_at	0.762946918
5176_at	0.750657711
5077_at	0.738883258
8218_at	0.69911067
9616_at	0.676382972
79073_at	0.645685726
1030_at	0.637357608
64135_at	0.63251529
79630_at	0.625526367
10131_at	0.620818647
660_at	0.616992434
8241_at	0.601366006
79134_at	0.59255051
10151_at	0.590602337
8366_at	0.552578659
55657_at	0.551000874
2828_at	0.538204439
AFF.BioB.5_at	0.534078836
4642_at	0.526034096
22856_at	0.52175441
133_at	0.521208784
3096_at	0.51678172
9099_at	0.510124405
2825_at	0.507325612
9170_at	0.504310854
2633_at	0.501713747
1116_at	0.47989496
84612_at	0.47553144
8495_at	0.472982985
84172_at	0.471342493
23591_at	0.462145206
3433_at	0.460837676
79786_at	0.45342534
81623_at	0.443758444
80183_at	0.441768704
10841_at	0.42961653
1778_at	0.42730932
27074_at	0.415402615
7096_at	0.413610741
3912_at	0.409558487
602_at	0.403842291
1907_at	0.401731992
4055_at	0.400341038
11184_at	0.399225377
28410_at	0.397035776
5092_at	0.39630061
51440_at	0.386947001
10585_at	0.382881954
54829_at	0.381900612
26048_at	0.378755307
83259_at	0.369201527
1642_at	0.367347819
9230_at	0.366447636
2634_at	0.361764341
2976_at	0.360145052
117246_at	0.35991242
100_at	0.357311884
3690_at	0.353162343
7692_at	0.351925233
3759_at	0.344263244
51056_at	0.339456032
4923_at	0.339010101
838_at	0.337516444
534_at	0.32941998
3575_at	0.328009556
7771_at	0.327349193
6241_at	0.326372269
9881_at	0.323511978
65009_at	0.321719566
7057_at	0.321308217
284904_at	0.319618998
5018_at	0.315377548
2867_at	0.304808229
7297_at	0.303903077
5802_at	0.301305737
8668_at	0.298973669
51764_at	0.294403605
1387_at	0.290680992
64847_at	0.288420384
8737_at	0.281015396
994_at	0.276779034
388_at	0.272212027
2014_at	0.267889029
102_at	0.267011649
3507_at	0.265314032
5163_at	0.263967561
65263_at	0.263762162
57556_at	0.26188372
55734_at	0.261568014
8233_at	0.260350973
5966_at	0.260243462
79954_at	0.259219662
10672_at	0.25916632
203068_at	0.259051879
64288_at	0.25548482
3187_at	0.255020674
56654_at	0.254670073
1824_at	0.254564231
8676_at	0.252211457
2193_at	0.251694766
55219_at	0.250709421
54973_at	0.250585903
6343_at	0.249203943
27079_at	0.24897195
9332_at	0.246457338
54910_at	0.24634399
2934_at	0.246129924
22982_at	0.246040211
57680_at	0.243663658
116987_at	0.243084001
55661_at	0.239759881
1892_at	0.239592499
752_at	0.236914468
11337_at	0.23642371
5985_at	0.236229146
6696_at	0.235138102
1652_at	0.233256903
55729_at	0.232960236
51311_at	0.231631491
730062_at	0.230607028
3018_at	0.229819361
2674_at	0.22924758
5198_at	0.227857272
5468_at	0.226908453
396_at	0.226773441
9854_at	0.225507983
9814_at	0.223844671
9667_at	0.223210616
220134_at	0.219393044
1659_at	0.219311816
4878_at	0.219188923
4913_at	0.217444102
23229_at	0.216575272
26509_at	0.214882674
4438_at	0.214618939
22872_at	0.214522782
729559_at	0.213780558
22853_at	0.211403734
9235_at	0.210624899
7351_at	0.207855292
8361_at	0.207021066
10499_at	0.206474253
51317_at	0.206407704
646808_at	0.204272919
3550_at	0.203554549
9826_at	0.203452753
27288_at	0.203305667
11030_at	0.202932602
5509_at	0.199000188
9223_at	0.198960911
64137_at	0.197758369
1850_at	0.197376426
16_at	0.19673797
10465_at	0.196723026
5732_at	0.195126286
4808_at	0.194225246
4710_at	0.194216046
8379_at	0.19373691
55268_at	0.192988515
5029_at	0.192898397
3753_at	0.192512018
4488_at	0.192478814
91120_at	0.192392474
9886_at	0.1923564
2550_at	0.191539688
AFF.Phe.3_at	0.191330704
54606_at	0.190385765
3203_at	0.190316178
4122_at	0.190299617
130916_at	0.189820359
79577_at	0.18909067
56729_at	0.188985148
7554_at	0.18885956
55911_at	0.188809501
23164_at	0.188049249
440270_at	0.186148703
51540_at	0.185123446
728225_at	0.184101413
10682_at	0.183859836
50862_at	0.183488037
80063_at	0.183449508
4939_at	0.181843829
3891_at	0.180429903
22996_at	0.180154091
4004_at	0.180095489
4811_at	0.179339424
9646_at	0.179149846
79796_at	0.178562177
6580_at	0.17808336
63929_at	0.177746248
29094_at	0.177622361
64754_at	0.177443193
113791_at	0.176250782
1606_at	0.175950742
862_at	0.17486341
1678_at	0.173696207
4919_at	0.172717717
6281_at	0.172648164
4054_at	0.172162218
1143_at	0.171940681
AFF.r2.Bs.dap.3_at	0.171618844
7305_at	0.171269734
7389_at	0.17080334
112399_at	0.170436908
7733_at	0.170436206
10947_at	0.170117055
79004_at	0.169782899
8578_at	0.169759881
9757_at	0.168237865
114327_at	0.168232605
22998_at	0.167779916
7718_at	0.167743425
6293_at	0.167043322
54847_at	0.167017374
7466_at	0.166930056
10526_at	0.166861918
83447_at	0.165999935
26045_at	0.165297106
64320_at	0.164070824
685_at	0.163923004
10858_at	0.162994163
10475_at	0.162288684
27342_at	0.161575655
2709_at	0.161173973
571_at	0.161120612
116138_at	0.15946305
8651_at	0.158733736
10738_at	0.158672459
3310_at	0.158598233
3092_at	0.158588039
65057_at	0.158417121
55222_at	0.156914255
29086_at	0.156418871
8761_at	0.156026876
10326_at	0.1539497
55742_at	0.153367318
7743_at	0.152903577
5328_at	0.152701851
3777_at	0.152427915
57698_at	0.15216248
1854_at	0.151688888
6286_at	0.151651188
321_at	0.150485871
8303_at	0.150112033
6741_at	0.149823833
4701_at	0.149451833
3717_at	0.149169668
1470_at	0.148838104
55663_at	0.148117731
23098_at	0.14741473
10587_at	0.147061482
9348_at	0.146633974
55737_at	0.146294558
6603_at	0.146098527
808_at	0.145975133
8776_at	0.145641883
11325_at	0.145588333
AFF.HUMISGF3A.M97935_MB_at	0.145397839
57109_at	0.145296703
25970_at	0.145254646
8729_at	0.145070134
5704_at	0.144855447
4650_at	0.144744174
51465_at	0.143729362
4585_at	0.143439359
79747_at	0.142061577
90121_at	0.141021745
23729_at	0.140901177
51020_at	0.140645165
4921_at	0.140400824
933_at	0.139104586
23682_at	0.137910971
